team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Pepperdine,Lorenzo Romar,sports_reference_2022_coaches,7,3,0,0,0,0,0,0,13,0.9096
Green Bay,Will Ryan,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Houston,Kelvin Sampson,sports_reference_2022_coaches,17,5,2,0,3,2,1,0,35,0.9699
Charlotte,Ron Sanchez,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Binghamton,Levell Sanders,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
North Dakota,Paul Sather,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Indiana State,Josh Schertz,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
St. Bonaventure,Mark Schmidt,sports_reference_2022_coaches,3,0,0,0,3,0,0,0,3,0.7452
San Diego,Sam Scholl,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Elon,Mike Schrage,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Air Force,Joe Scott,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Kansas,Bill Self,sports_reference_2022_coaches,22,13,3,2,17,10,3,2,76,0.9863
Central Connecticut,Patrick Sellers,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Santa Clara,Herb Sendek,sports_reference_2022_coaches,8,1,0,0,0,0,0,0,10,0.8904
Kent St.,Rob Senderoff,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Penn St.,Micah Shrewsberry,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
UNC Wilmington,Takayo Siddle,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Eastern Illinois,Marty Simmons,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Southern Utah,Todd Simon,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Towson,Pat Skerry,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
New Orleans,Mark Slessinger,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Marquette,Shaka Smart,sports_reference_2022_coaches,8,1,1,0,0,0,0,0,14,0.9164
Northern Colorado,Steve Smiley,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Prairie View,Byron Smith,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Utah,Craig Smith,sports_reference_2022_coaches,2,0,0,0,0,0,0,0,2,0.674
High Point,G.G. Smith,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Cal Poly,John Smith,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Washington St.,Kyle Smith,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Drexel,Zach Spiker,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Morehead St.,Preston Spradlin,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Montana St.,Danny Sprinkle,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
